height,weight
180.0,80.0
170.0,60.0
185.0,82.0
185.0,82.0
185.0,82.0
185.0,82.0
185.0,82.0
185.0,82.0
188.0,75.0
188.0,75.0
188.0,75.0
188.0,75.0
188.0,75.0
188.0,75.0
188.0,75.0
188.0,75.0
183.0,72.0
183.0,72.0
183.0,72.0
183.0,72.0
183.0,72.0
183.0,72.0
183.0,72.0
183.0,72.0
186.0,96.0
182.0,76.5
172.0,70.0
159.0,55.5
159.0,55.5
171.0,65.0
184.0,85.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
175.0,64.0
189.0,130.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
176.0,85.0
170.0,125.0
187.0,89.0
187.0,89.0
169.0,65.0
170.0,77.0
170.0,77.0
189.0,72.0
189.0,72.0
174.0,70.0
187.0,76.0
187.0,76.0
187.0,76.0
190.0,98.0
194.0,78.0
194.0,78.0
194.0,78.0
194.0,78.0
194.0,78.0
182.0,64.0
185.0,75.0
182.0,73.0
182.0,73.0
182.0,73.0
182.0,73.0
182.0,73.0
194.0,93.0
194.0,93.0
194.0,93.0
194.0,93.0
194.0,93.0
177.0,74.0
177.0,74.0
177.0,74.0
177.0,74.0
168.0,65.0
168.0,65.0
185.0,106.0
185.0,106.0
167.0,64.0
167.0,64.0
167.0,64.0
167.0,64.0
167.0,64.0
167.0,64.0
189.0,80.0
172.0,58.0
170.0,65.0
176.0,66.0
164.0,71.0
164.0,71.0
172.0,75.0
175.0,72.0
198.0,90.0
194.0,87.0
165.0,49.0
156.0,48.0
179.0,80.0
179.0,80.0
178.0,76.0
178.0,76.0
185.0,72.0
167.0,65.0
172.0,82.0
172.0,82.0
180.0,83.0
180.0,83.0
182.0,86.0
182.0,86.0
182.0,86.0
182.0,73.0
178.0,70.0
185.0,82.0
166.0,75.0
186.0,83.0
190.0,77.0
183.0,75.0
165.0,55.0
181.0,82.0
181.0,82.0
181.0,82.0
182.0,67.0
182.0,67.0
188.0,97.0
168.0,105.0
163.0,60.0
163.0,60.0
190.0,80.0
180.0,73.0
190.0,85.0
190.0,85.0
155.0,43.0
168.0,60.0
180.0,70.0
169.0,75.0
169.0,75.0
169.0,75.0
181.0,79.0
