age,height,weight
24.0,180.0,80.0
23.0,170.0,60.0
21.0,185.0,82.0
31.0,188.0,75.0
31.0,183.0,72.0
26.0,186.0,96.0
22.0,182.0,76.5
31.0,172.0,70.0
30.0,159.0,55.5
32.0,171.0,65.0
28.0,184.0,85.0
28.0,175.0,64.0
31.0,189.0,130.0
20.0,176.0,85.0
22.0,170.0,125.0
22.0,187.0,89.0
17.0,169.0,65.0
43.0,170.0,77.0
26.0,189.0,72.0
24.0,174.0,70.0
24.0,187.0,76.0
30.0,187.0,76.0
24.0,190.0,98.0
21.0,194.0,78.0
23.0,182.0,64.0
34.0,185.0,75.0
25.0,182.0,73.0
33.0,194.0,93.0
22.0,177.0,74.0
24.0,168.0,65.0
22.0,185.0,106.0
