id,name,sex,age,height,weight
1,A Dijiang,M,24.0,180.0,80.0
2,A Lamusi,M,23.0,170.0,60.0
5,Christine Jacoba Aaftink,F,21.0,185.0,82.0
6,Per Knut Aaland,M,31.0,188.0,75.0
7,John Aalberg,M,31.0,183.0,72.0
9,Antti Sami Aalto,M,26.0,186.0,96.0
11,Jorma Ilmari Aalto,M,22.0,182.0,76.5
12,Jyri Tapani Aalto,M,31.0,172.0,70.0
13,Minna Maarit Aalto,F,30.0,159.0,55.5
14,Pirjo Hannele Aalto (Mattila-),F,32.0,171.0,65.0
16,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0
17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
18,Timo Antero Aaltonen,M,31.0,189.0,130.0
20,Kjetil Andr Aamodt,M,20.0,176.0,85.0
22,Andreea Aanei,F,22.0,170.0,125.0
23,Fritz Aanes,M,22.0,187.0,89.0
26,Agnes Erika Aanonsen (-Eyde),F,17.0,169.0,65.0
28,Jan-Erik Aarberg,M,43.0,170.0,77.0
30,Pepijn Aardewijn,M,26.0,189.0,72.0
31,Evald rma (rman-),M,24.0,174.0,70.0
33,Mika Lauri Aarnikka,M,24.0,187.0,76.0
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0
35,Dagfinn Sverre Aarskog,M,24.0,190.0,98.0
36,Stefan Remco Aartsen,M,21.0,194.0,78.0
37,Ann Kristin Aarnes,F,23.0,182.0,64.0
43,Morten Gjerdrum Aasen,M,34.0,185.0,75.0
44,Meelis Aasme,M,25.0,182.0,73.0
46,Hans Aasns,M,33.0,194.0,93.0
47,Erling Rudolf Aastad,M,22.0,177.0,74.0
49,Moonika Aava,F,24.0,168.0,65.0
50,Arvi Aavik,M,22.0,185.0,106.0
