year,state,pop
2005,CA,35827943.0
2006,CA,36021202.0
2007,CA,36250311.0
2008,CA,36604337.0
2009,CA,36961229.0
2010,CA,37336011.0
2011,CA,37701901.0
2012,CA,38062780.0
2013,CA,38431393.0
2014,CA,38802500.0
2015,CA,39144818.0
2005,FL,17842038.0
2006,FL,18166990.0
2007,FL,18367842.0
2008,FL,18527305.0
2009,FL,18652644.0
2010,FL,18852220.0
2011,FL,19107900.0
2012,FL,19355257.0
2013,FL,19600311.0
2014,FL,19893297.0
2015,FL,20271272.0
2005,NY,19132610.0
2006,NY,19104631.0
2007,NY,19132335.0
2008,NY,19212436.0
2009,NY,19307066.0
2010,NY,19400867.0
2011,NY,19521745.0
2012,NY,19607140.0
2013,NY,19695680.0
2014,NY,19746227.0
2015,NY,19795791.0
2005,TX,22778123.0
2006,TX,23359580.0
2007,TX,23831983.0
2008,TX,24309039.0
2009,TX,24801761.0
2010,TX,25245717.0
2011,TX,25657477.0
2012,TX,26094422.0
2013,TX,26505637.0
2014,TX,26956958.0
2015,TX,27469114.0
