state,postal_code,lat,lng,costRank,costIndex,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
Hawaii,HI,21.2160437,-157.975203,1,192.9,169.3,318.6,172.7,148.6,116.8
California,CA,36.7014631,-118.7559974,3,151.7,121.4,227.3,117.7,138.9,114.5
New York,NY,42.6588992,-80.2590355,4,139.1,114.8,204.4,108.7,116.6,104.8
Oregon,OR,43.9792797,-120.737257,5,134.2,110.3,181.8,88.0,136.7,113.2
Massachusetts,MA,42.3788774,-72.032366,6,131.6,113.9,170.3,109.7,116.0,117.6
Alaska,AK,64.4459613,-149.680909,7,129.9,134.2,133.9,154.2,130.8,150.9
Maryland,MD,39.5162234,-76.9382069,8,129.7,108.5,184.5,107.3,116.7,89.2
Connecticut,CT,41.6500201,-72.7342163,9,127.7,114.2,144.7,128.1,111.8,113.7
New Jersey,NJ,40.0757384,-74.4041622,10,125.1,109.5,163.1,101.6,111.1,101.7
Rhode Island,RI,41.7962409,-71.5992372,11,119.4,106.2,129.4,123.5,124.0,109.3
Maine,ME,45.709097,-68.8590201,12,117.5,107.0,123.1,116.1,121.4,121.8
Vermont,VT,44.5990718,-72.5002608,13,114.5,111.3,126.7,120.2,119.9,101.2
Washington,WA,47.2868352,-120.2126139,14,110.7,107.8,117.8,88.7,121.7,118.9
New Hampshire,NH,43.4849133,-71.6553992,15,109.7,100.4,110.3,119.5,111.4,116.1
Nevada,NV,39.5158825,-116.8537227,16,108.5,108.3,121.8,89.0,123.5,105.7
Delaware,DE,38.6920451,-75.4013315,17,108.1,113.4,98.2,96.5,107.0,101.6
Montana,MT,47.3752671,-109.6387579,18,106.9,105.1,111.6,83.9,125.0,98.4
Colorado,CO,38.7251776,-105.6077167,19,105.6,102.5,119.0,88.4,101.2,102.9
Pennsylvania,PA,40.9699889,-77.7278831,20,101.7,106.9,100.8,106.0,109.5,91.9
Minnesota,MN,45.9896587,-94.6113288,21,101.6,106.7,88.3,96.8,103.7,108.6
Virginia,VA,37.1232245,-78.4927721,22,100.7,96.1,108.0,99.2,88.1,97.2
South Dakota,SD,44.6471761,-100.348761,23,99.8,107.0,109.8,91.8,89.8,103.0
North Dakota,ND,47.6201461,-100.540737,24,98.8,108.1,90.3,93.6,104.3,111.7
Utah,UT,39.4225192,-111.7143584,25,98.4,98.5,93.6,89.4,108.6,96.0
Florida,FL,27.7567667,-81.4639835,26,97.9,104.0,95.4,102.2,96.7,96.9
Wisconsin,WI,44.4308975,-89.6884637,27,97.3,100.7,91.4,98.9,98.1,115.2
Arizona,AZ,34.395342,-111.7632755,28,97.0,96.9,91.7,107.4,109.6,94.7
South Carolina,SC,33.6874388,-80.4363743,29,95.9,101.9,85.1,107.6,88.0,94.2
North Carolina,NC,35.6729639,-79.0392919,30,94.9,96.6,83.1,97.9,93.4,110.6
Illinois,IL,40.0796606,-89.4337288,31,94.5,94.2,87.2,100.9,100.9,99.0
Louisiana,LA,30.8703881,-92.007126,32,93.9,99.9,86.6,89.3,98.5,98.8
Idaho,ID,43.6447642,-114.0154071,33,92.3,92.2,87.1,82.9,106.7,97.3
Texas,TX,31.8160381,-99.5120986,34,91.5,88.9,85.3,102.3,91.4,96.2
West Virginia,WV,38.4758406,-80.8408415,35,91.1,92.9,79.6,89.0,93.5,89.1
Kentucky,KY,37.5726028,-85.1551411,36,90.9,89.9,77.4,97.6,92.8,89.2
Ohio,OH,40.2253569,-82.6881395,37,90.8,98.7,73.6,91.8,96.7,97.6
Nebraska,NE,41.7370229,-99.5873816,38,90.8,95.5,80.9,90.8,94.3,99.9
Iowa,IA,41.9216734,-93.3122705,39,90.1,95.9,79.6,95.3,95.5,97.8
Indiana,IN,40.3270127,-86.1746933,40,90.0,93.3,77.3,97.0,93.1,94.3
Wyoming,WY,42.9015609,-109.2539886,42,89.3,98.7,72.3,87.3,99.3,94.9
Alabama,AL,33.2588817,-86.8295337,41,89.3,97.4,71.5,103.3,88.6,90.8
Georgia,GA,32.3293809,-83.1137366,43,89.2,96.9,73.8,92.4,97.6,98.5
Kansas,KS,38.27312,-98.5821872,44,89.0,91.9,73.8,103.0,92.3,98.9
Michigan,MI,43.6211955,-84.6824346,45,88.9,89.3,75.2,97.3,97.4,93.0
Tennessee,TN,35.7730076,-86.2820081,46,88.7,93.3,80.2,93.4,89.7,88.5
New Mexico,NM,34.5708167,-105.993007,47,87.5,100.9,77.7,87.9,91.6,100.1
Missouri,MO,38.7604815,-92.5617875,48,87.1,96.6,70.6,99.6,87.3,95.7
Oklahoma,OK,34.9550817,-97.2684063,49,87.0,95.4,71.9,94.1,89.5,93.2
Arkansas,AR,35.2048883,-92.4479108,50,86.9,92.0,73.9,91.8,83.6,85.6
Mississippi,MS,32.9715645,-89.7348497,51,86.1,91.6,70.1,89.1,89.2,91.4
